mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nn_model__batch_size,param_nn_model__dropout,param_nn_model__epochs,param_nn_model__input_dim,param_nn_model__nodes_per_layer,param_nn_model__optimizer,params,split0_test_percentile99,split1_test_percentile99,mean_test_percentile99,std_test_percentile99,rank_test_percentile99,split0_test_MAPE,split1_test_MAPE,mean_test_MAPE,std_test_MAPE,rank_test_MAPE
330.85929238796234,2.279750943183899,64.44571697711945,4.490739464759827,75,0.1,200,22,"(10, 5)",adam,"{'nn_model__batch_size': 75, 'nn_model__dropout': 0.1, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-97.79214755431627,-99.37770126342772,-98.584924408872,0.7927768545557257,4,-38.6926245867195,-33.68989944458008,-36.191262015649784,2.501362571069709,4
362.8084840774536,4.096149444580078,65.21003353595734,0.14954030513763428,75,0.1,200,22,"(10, 10, 5)",adam,"{'nn_model__batch_size': 75, 'nn_model__dropout': 0.1, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-100.11421633534313,-96.33669761657714,-98.22545697596013,1.8887593593829948,2,-35.89723057713182,-32.6849250793457,-34.29107782823876,1.6061527488930594,2
501.30492532253265,4.103526711463928,57.098461627960205,0.3993246555328369,75,0.1,300,22,"(10, 5)",adam,"{'nn_model__batch_size': 75, 'nn_model__dropout': 0.1, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-99.02816777388364,-99.20406799316407,-99.11611788352386,0.08795010964021799,9,-33.3000786416329,-41.72102355957031,-37.5105511006016,4.210472458968706,7
552.8514534235001,4.243600010871887,56.860703110694885,0.006177783012390137,75,0.1,300,22,"(10, 10, 5)",adam,"{'nn_model__batch_size': 75, 'nn_model__dropout': 0.1, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-106.76939791944645,-98.58609359741212,-102.67774575842928,4.091652161017166,12,-36.84304941349057,-40.39757537841797,-38.62031239595427,1.7772629824636998,9
340.1919039487839,1.418592095375061,53.11593949794769,1.182968020439148,75,0.2,200,22,"(10, 5)",adam,"{'nn_model__batch_size': 75, 'nn_model__dropout': 0.2, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-114.79134028382852,-97.03254394531248,-105.91194211457051,8.879398169258018,15,-41.74210248588953,-36.86545944213867,-39.3037809640141,2.43832152187543,11
372.9694517850876,0.32286059856414795,55.7256954908371,1.9488719701766968,75,0.2,200,22,"(10, 10, 5)",adam,"{'nn_model__batch_size': 75, 'nn_model__dropout': 0.2, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-99.70557090730716,-105.6448497009277,-102.67521030411743,2.9696393968102655,11,-39.915892821265054,-40.83523941040039,-40.375566115832726,0.4596732945676685,12
504.99223577976227,2.885275959968567,72.90104591846466,1.4462913274765015,75,0.2,300,22,"(10, 5)",adam,"{'nn_model__batch_size': 75, 'nn_model__dropout': 0.2, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-99.16318209919561,-98.35433494567872,-98.75875852243716,0.40442357675844676,7,-40.741341753513694,-35.96146774291992,-38.35140474821681,2.3899370052968862,8
564.4349853992462,2.9025537967681885,68.157928109169,4.0629976987838745,75,0.2,300,22,"(10, 10, 5)",adam,"{'nn_model__batch_size': 75, 'nn_model__dropout': 0.2, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-97.80019012233495,-189.7881443786619,-143.79416725049845,45.99397712816348,16,-40.44028876641925,-48.378604888916016,-44.40944682766764,3.9691580612483826,15
259.6357151269913,0.967915415763855,68.4994512796402,5.001107335090637,100,0.1,200,22,"(10, 5)",adam,"{'nn_model__batch_size': 100, 'nn_model__dropout': 0.1, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-97.28432091868724,-99.21468772888181,-98.24950432378452,0.9651834050972852,3,-32.09880529613563,-36.90032196044922,-34.49956362829242,2.4007583321567942,3
294.0713623762131,0.312862753868103,66.11135268211365,4.1182355880737305,100,0.1,200,22,"(10, 10, 5)",adam,"{'nn_model__batch_size': 100, 'nn_model__dropout': 0.1, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-96.97644536168315,-108.82956535339355,-102.90300535753835,5.9265599958552,14,-37.74857416607389,-35.27018356323242,-36.50937886465316,1.2391953014207324,5
397.6635663509369,3.2007384300231934,84.16019856929779,10.428826928138733,100,0.1,300,22,"(10, 5)",adam,"{'nn_model__batch_size': 100, 'nn_model__dropout': 0.1, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-96.75187694400125,-96.88312614440918,-96.81750154420521,0.06562460020396088,1,-32.89232986162405,-32.24861526489258,-32.57047256325831,0.3218572983657353,1
443.9213215112686,0.7052329778671265,62.507989168167114,0.63356614112854,100,0.1,300,22,"(10, 10, 5)",adam,"{'nn_model__batch_size': 100, 'nn_model__dropout': 0.1, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-97.5548637384163,-101.57919815063475,-99.56703094452553,2.0121672061092255,10,-32.32380519036261,-41.67853546142578,-37.00117032589419,4.677365135531584,6
257.686953663826,0.12199747562408447,61.36413621902466,12.01711392402649,100,0.2,200,22,"(10, 5)",adam,"{'nn_model__batch_size': 100, 'nn_model__dropout': 0.2, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-97.85268303381872,-99.59924362182616,-98.72596332782244,0.8732802940037203,5,-39.90289830615617,-38.62419128417969,-39.26354479516793,0.63935351098824,10
281.34118688106537,1.1213332414627075,83.77722024917603,3.3941967487335205,100,0.2,200,22,"(10, 10, 5)",adam,"{'nn_model__batch_size': 100, 'nn_model__dropout': 0.2, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-99.02295355110931,-98.48714767456053,-98.75505061283492,0.26790293827438916,6,-41.41880693373029,-41.3492431640625,-41.38402504889639,0.034781884833893884,13
269.54264187812805,10.749631404876709,23.827991724014282,2.1355347633361816,100,0.2,300,22,"(10, 5)",adam,"{'nn_model__batch_size': 100, 'nn_model__dropout': 0.2, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-99.78236199821183,-98.1852488708496,-98.98380543453072,0.7985565636811103,8,-40.63307659500676,-43.119529724121094,-41.87630315956393,1.2432265645571654,14
262.18375277519226,9.146642923355103,15.392042994499207,1.9563063383102417,100,0.2,300,22,"(10, 10, 5)",adam,"{'nn_model__batch_size': 100, 'nn_model__dropout': 0.2, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-99.0745370736821,-106.46567893981927,-102.77010800675069,3.6955709330685877,13,-39.39433588962022,-51.872379302978516,-45.63335759629937,6.2390217066791465,16
